Vendedor,País,Produto,Data,Valor,Caixas Enviadas
Jehu Rudeforth,Reino Unido,Chocolate de Menta com Flocos,04/01/2022,"$ 5.320,00",180
Van Tuxwell,Índia,Barras 85% Cacau,01/08/2022,"$ 7.896,00",94
Gigi Bohling,Índia,Cubos de Manteiga de Amendoim,07/07/2022,"$ 4.501,00",91
Jan Morforth,Austrália,Cubos de Manteiga de Amendoim,27/04/2022,"$ 12.726,00",342
Jehu Rudeforth,Reino Unido,Cubos de Manteiga de Amendoim,24/02/2022,"$ 13.685,00",184
Van Tuxwell,Índia,Chocolate Salgado Suave,06/06/2022,"$ 5.376,00",38
Oby Sorrel,Reino Unido,99% Cacau Puro,25/01/2022,"$ 13.685,00",176
Gunar Cockshoot,Austrália,Chocolate de Menta (After Nines),24/03/2022,"$ 3.080,00",73
Jehu Rudeforth,Nova Zelândia,Pedacinhos 50% Cacau,20/04/2022,"$ 3.990,00",59
Brien Boise,Austrália,99% Cacau Puro,04/07/2022,"$ 2.835,00",102
Rafaelita Blaksland,Reino Unido,Chocolate Salgado Suave,13/01/2022,"$ 4.704,00",62
Barr Faughny,EUA,Chocolate de Laranja,10/03/2022,"$ 3.703,00",11
Mallorie Waber,Canadá,Eclairs,13/01/2022,"$ 1.442,00",286
Karlen McCaffrey,Nova Zelândia,Chocolate para Beber,28/07/2022,"$ 168,00",156
Marney O'Breen,Nova Zelândia,Cubos de Manteiga de Amendoim,03/08/2022,"$ 8.379,00",173
Beverie Moffet,Austrália,Calda de Chocolate Orgânica,26/01/2022,"$ 6.790,00",356
Van Tuxwell,Canadá,Calda de Chocolate Orgânica,14/02/2022,"$ 4.067,00",42
Roddy Speechley,EUA,Chocolate Salgado Suave,05/04/2022,"$ 3.017,00",140
Beverie Moffet,Canadá,Barras de Chocolate ao Leite,16/02/2022,"$ 8.799,00",250
Curtice Advani,Reino Unido,Barras 85% Cacau,08/06/2022,"$ 1.085,00",172
Brien Boise,Austrália,Eclairs,27/06/2022,"$ 6.888,00",88
Gunar Cockshoot,EUA,Barras Finas Picantes,17/02/2022,"$ 1.267,00",157
Marney O'Breen,EUA,Chocolate de Menta (After Nines),30/05/2022,"$ 4.753,00",163
Husein Augar,Reino Unido,Chocolate para Beber,14/03/2022,"$ 3.003,00",113
Kaine Padly,Austrália,Eclairs,28/02/2022,"$ 7.672,00",115
Karlen McCaffrey,Índia,Barras de Frutas e Castanhas,26/01/2022,"$ 168,00",321
Roddy Speechley,Canadá,Barras Finas Picantes,09/02/2022,"$ 1.652,00",186
Husein Augar,EUA,Eclairs,07/07/2022,"$ 4.025,00",112
Dennison Crosswaite,Nova Zelândia,Chocolate Branco,05/07/2022,"$ 9.492,00",151
Dennison Crosswaite,Nova Zelândia,Chocolate com Mel de Manuka,15/06/2022,"$ 5.061,00",301
Van Tuxwell,Nova Zelândia,Barras 85% Cacau,24/05/2022,"$ 1.722,00",121
Rafaelita Blaksland,Reino Unido,99% Cacau Puro,29/06/2022,"$ 12.446,00",150
Wilone O'Kielt,Austrália,Chocolate com Mel de Manuka,11/05/2022,"$ 4.284,00",94
Karlen McCaffrey,Reino Unido,Chocolate com Amêndoas,30/06/2022,"$ 6.839,00",133
Andria Kimpton,Canadá,Chocolate de Menta (After Nines),11/05/2022,"$ 2.163,00",70
Roddy Speechley,EUA,Chocolate com Mel de Manuka,22/07/2022,"$ 9.583,00",315
Andria Kimpton,Reino Unido,Pedacinhos 50% Cacau,24/08/2022,"$ 2.653,00",314
Kelci Walkden,Nova Zelândia,Chocolate de Menta (After Nines),07/07/2022,"$ 147,00",72
Camilla Castle,Austrália,Barras 85% Cacau,19/05/2022,"$ 3.654,00",14
Karlen McCaffrey,Índia,Chocolate com Mel de Manuka,04/07/2022,"$ 2.443,00",581
Kelci Walkden,EUA,Chocolate de Menta (After Nines),02/06/2022,"$ 938,00",16
Karlen McCaffrey,EUA,Chocolate de Framboesa,15/04/2022,"$ 14.749,00",354
Mallorie Waber,Canadá,Amêndoas Cobertas com Chocolate,11/07/2022,"$ 4.781,00",241
Andria Kimpton,Índia,Barras Finas Picantes,23/02/2022,"$ 6.307,00",142
Madelene Upcott,Canadá,Chocolate com Amêndoas,22/08/2022,"$ 7.602,00",102
Kaine Padly,EUA,Cubos de Manteiga de Amendoim,16/02/2022,"$ 6.790,00",188
Van Tuxwell,EUA,Pedacinhos 50% Cacau,13/01/2022,"$ 9.737,00",160
Curtice Advani,Austrália,Barras de Chocolate ao Leite,14/02/2022,"$ 6.979,00",18
Roddy Speechley,Índia,Eclairs,10/06/2022,"$ 4.382,00",303
Curtice Advani,Índia,Barras de Frutas e Castanhas,07/07/2022,"$ 5.243,00",176
Curtice Advani,Canadá,Chocolate com Amêndoas,24/03/2022,"$ 4.865,00",70
Brien Boise,Austrália,Barras de Frutas e Castanhas,06/06/2022,"$ 8.575,00",23
Dotty Strutley,Austrália,Chocolate para Beber,19/07/2022,"$ 91,00",135
Beverie Moffet,EUA,Chocolate de Framboesa,19/04/2022,"$ 14.798,00",83
Marney O'Breen,Índia,Barras 85% Cacau,19/07/2022,"$ 2.205,00",179
Jehu Rudeforth,Canadá,Chocolate para Beber,15/07/2022,"$ 441,00",24
Ches Bonnell,Nova Zelândia,Barras Finas Picantes,14/02/2022,"$ 3.556,00",18
Brien Boise,Canadá,99% Cacau Puro,18/05/2022,"$ 16.793,00",416
Barr Faughny,Austrália,Barras de Frutas e Castanhas,30/06/2022,"$ 15.421,00",55
Andria Kimpton,Austrália,Pedacinhos 50% Cacau,02/06/2022,"$ 4.438,00",227
Andria Kimpton,Austrália,Chocolate para Beber,28/06/2022,"$ 1.603,00",48
Marney O'Breen,Austrália,Calda de Chocolate Orgânica,16/05/2022,"$ 273,00",174
Kelci Walkden,Canadá,Gotas de Chocolate Culinário,26/05/2022,"$ 3.073,00",302
Karlen McCaffrey,Índia,Chocolate com Amêndoas,06/07/2022,"$ 6.090,00",149
Oby Sorrel,Índia,99% Cacau Puro,27/05/2022,"$ 10.255,00",11
Wilone O'Kielt,Austrália,Barras Recheadas com Caramelo,14/04/2022,"$ 2.030,00",11
Van Tuxwell,Austrália,Calda de Chocolate Orgânica,10/08/2022,"$ 19.453,00",14
Camilla Castle,Índia,Pedacinhos 50% Cacau,04/07/2022,"$ 9.275,00",411
Oby Sorrel,Índia,Calda de Chocolate Orgânica,08/07/2022,"$ 6.181,00",56
Jan Morforth,EUA,Cubos de Manteiga de Amendoim,22/07/2022,"$ 9.037,00",102
Gigi Bohling,EUA,Amêndoas Cobertas com Chocolate,02/03/2022,"$ 12.313,00",103
Gigi Bohling,Reino Unido,Chocolate com Amêndoas,10/01/2022,"$ 5.642,00",9
Jehu Rudeforth,Nova Zelândia,Chocolate Branco,11/03/2022,"$ 2.800,00",241
Andria Kimpton,Nova Zelândia,Cubos de Manteiga de Amendoim,20/06/2022,"$ 959,00",265
Van Tuxwell,Reino Unido,Calda de Chocolate Orgânica,26/08/2022,"$ 2.002,00",214
Roddy Speechley,Canadá,Barras de Chocolate ao Leite,13/07/2022,"$ 609,00",32
